,Species,Samples
437,Accipiter striatus,1
554,Actitis macularius,1
374,Amazilia brevirostris,1
488,Amazona amazonica,1
396,Amazona coerulescens,1
541,Amazona farinosa,1
559,Ammodramus humeralis,1
515,Antrostomus sericocaudatus,1
350,Anurolimnas castaneiceps,1
568,Ara chloropterus,1
543,Ara macao,1
517,Ardea alba,1
500,Arundinicola leucocephala,1
512,Atticora tibialis,1
379,Attila citriniventris,1
470,Attila phoenicurus,1
534,Attila sp.,1
473,Aulacorhynchus derbianus,1
367,Automolus cf. infuscatus,1
524,Automolus melanopezus,1
486,Automolus sp.,1
386,Bartramia longicauda,1
555,Brotogeris sp.,1
432,Buteo brachyurus,1
501,Buteo sp.,1
548,Buteogallus schistaceus,1
404,Campylorhamphus gyldenstolpei,1
358,Campylorhamphus sanus,1
407,Caracara plancus,1
427,Cathartes burrovianus,1
344,Catharus cf. minimus,1
425,Catharus minimus,1
538,Catharus swainsoni,1
531,Celeus elegans jumanus,1
497,Celeus ochraceus,1
330,Chamaeza nobilis,1
467,Chlorostilbon sp.,1
459,Chondrohierax uncinatus,1
507,Chordeiles sp.,1
466,Cnemotriccus cf. fuscatus,1
525,Cnipodectes cf. subbrunneus,1
430,Cnipodectes superrufus,1
510,Coccyzus americanus,1
485,Colaptes melanochloros,1
550,Colinus cristatus,1
494,Colonia colonus,1
333,Conopophaga lineata,1
546,Conopophaga melanops,1
428,Contopus cooperi,1
468,Contopus sordidulus,1
461,Coryphospingus cucullatus,1
429,Cranioleuca stellaris,1
439,Crax globulosa,1
363,Crotophaga ani,1
516,Crotophaga sp.,1
342,Crypturellus obsoletus,1
375,Crypturellus sp.,1
474,Daptrius ater,1
336,Dendrexetastes rufigula,1
380,Dendrocincla cf. fuliginosa,1
399,Dendrocolaptes certhia concolor,1
462,Dendrocolaptes juruanus,1
406,Dendrocolaptes platyrostris,1
416,Dendrocolaptes radiolatus,1
533,Dendrocolaptes ridgwayi,1
499,Deroptyus accipitrinus,1
385,Diglossa duidae,1
521,Discosura langsdorffi,1
419,Discosura longicaudus,1
455,Dixiphia cf. pipra,1
519,Dromococcyx pavoninus,1
484,Elaenia cf. chiriquensis,1
457,Elaenia cf. parvirostris,1
327,Euchrepomis spodioptila,1
502,Euphonia cayennensis,1
446,Euphonia chlorotica,1
458,Euphonia laniirostris,1
536,Falco peregrinus,1
388,Formicarius sp.,1
518,Galbula sp.,1
414,Gallinago paraguaiae,1
448,Gallinago undulata,1
438,Gelochelidon nilotica,1
378,Geranoaetus melanoleucus,1
387,Grallaricula nana,1
442,Griseotyrannus aurantioatrocristatus,1
527,Gymnoderus foetidus,1
447,Gymnomystax mexicanus,1
463,Heliodoxa cf. aurescens,1
376,Hemitriccus iohannis,1
545,Hemitriccus kaempferi,1
456,Hemitriccus senex,1
343,Herpsilochmus sellowi,1
528,Herpsilochmus sp.,1
487,Herpsilochmus stictocephalus,1
339,Himantopus mexicanus,1
398,Hydropsalis parvula,1
382,Hylopezus berlepschi,1
340,Hylopezus whittakeri,1
537,Hylophilus thoracicus,1
423,Hypocnemis rondoni,1
360,Hypocnemis subflava,1
535,Ibycter americanus,1
412,Icterus croconotus,1
504,Icterus nigrogularis,1
445,Ictinia plumbea,1
523,Iodopleura isabellae,1
465,Lanio rufiventer,1
565,Larus sp.,1
346,Lepidothrix,1
563,Lepidothrix sp.,1
391,Leptodon cayanensis,1
549,Leptotila sp.,1
464,Leucochloris albicollis,1
370,Lochmias nematura,1
544,Lophornis sp.,1
435,Lophotriccus sp.,1
409,Lurocalis cf. semitorquatus,1
405,Machaeropterus regulus,1
369,Machaeropterus sp.,1
417,Megascops guatemalae roraimae,1
348,Micrastur semitorquatus,1
440,Micrastur sp.,1
551,Micropygia schomburgkii,1
552,Monasa flavirostris,1
513,Morphnus guianensis,1
558,Muscisaxicola fluviatilis,1
562,Myiarchus cf. ferox,1
373,Myiobius atricaudus,1
389,Myiozetetes similis,1
472,Myrmelastes sp.,1
401,Myrmoborus lophotes,1
395,Myrmotherula behni,1
529,Myrmotherula cf. axillaris,1
361,Myrmotherula cf. longipennis,1
355,Myrmotherula haematonata,1
449,Myrmotherula sunensis,1
561,Nannochordeiles pusillus esmeraldae,1
335,Nannochordeiles sp.,1
332,Nonnula sclateri,1
491,Nonnula sp.,1
338,Notharchus macrorhynchos,1
418,Nothocrax urumutum,1
471,Nyctibius aethereus,1
496,Nyctibius griseus,1
383,Nyctidromus cf. albicollis,1
422,Nyctiprogne sp.,1
539,Odontophorus stellatus,1
475,Odontorchilus cinereus,1
460,Oneillornis salvini maculata,1
365,Oxyruncus cristatus,1
326,Pachyramphus viridis,1
436,Passerina sp.,1
483,Patagioenas fasciata,1
492,Patagioenas speciosa,1
351,Patagioenas subvinacea,1
434,Percnostola sp.,1
329,Perissocephalus tricolor,1
560,Phaethornis cf. malaris,1
567,Phaethornis nattereri,1
532,Phaetusa simplex,1
477,Pheugopedius sp.,1
547,Phyllomyias griseiceps,1
509,Phyllomyias griseocapilla,1
451,Phylloscartes chapmani,1
479,Picumnus aurifrons borbae,1
334,Picumnus buffonii,1
349,Picumnus castelnau,1
392,Pipra sp.,1
553,Platyrinchus sp.,1
377,Poecilotriccus capitalis,1
347,Polioptila paraensis,1
381,Progne chalybea,1
337,Progne elegans,1
371,Progne sp.,1
444,Progne subis,1
331,Pseudastur albicollis,1
426,Psittacidae sp.,1
556,Psophia dextralis,1
441,Psophia leucoptera,1
480,Pteroglossus beauharnaisii,1
505,Pteroglossus castanotis,1
400,Pteroglossus sp.,1
498,Pyriglena leucoptera,1
372,Pyrilia caica,1
503,Pyrocephalus rubinus,1
353,Pyrrhura picta,1
511,Rhynchocyclus sp.,1
356,Saltator sp.,1
359,Sclerurus rufigulares,1
493,Setophaga pitiayumi,1
433,Sirystes sibilator,1
368,Spiza americana,1
469,Sporophila americana,1
402,Sporophila crassirostris,1
411,Sporophila maximiliani,1
345,Strix hylophila,1
478,Synallaxis hypospodia,1
520,Synallaxis scutata,1
476,Synallaxis sp.,1
328,Syrigma sibilatrix,1
390,Taeniotriccus andrei,1
450,Tangara nigrocincta,1
431,Tangara varia,1
397,Terenura sp.,1
566,Thamnophilus cf. schistaceus,1
454,Theristicus caudatus,1
522,Threnetes sp.,1
443,Tigrisoma fasciatum,1
508,Tinamus major,1
420,Tinamus sp.,1
530,Tinamus tao,1
354,Tityra cayana,1
352,Todirostrum pictum,1
394,Todirostrum poliocephalum,1
410,Tolmomyias cf. flaviventris,1
482,Touit huetii,1
452,Touit purpuratus,1
490,Trichothraupis melanops,1
540,Troglodytes rufulus,1
453,Trogon ramonianus,1
481,Turdus cf. albicollis,1
557,Turdus cf. ignobilis debilis,1
413,Tyrannopsis sulphurea,1
424,Tyrannus dominicensis,1
341,Tyrannus sp.,1
384,Urubitinga urubitinga,1
366,Vanellus chilensis,1
542,Vireo altiloquus,1
495,Vireo cf. flavoviridis,1
408,Vireo chivi,1
526,Vireo sp.,1
357,Xenops cf. tenuirostris,1
393,Xenopsaris albinucha,1
415,Xiphocolaptes carajaensis,1
362,Xipholena lamellipennis,1
421,Xipholena punicea,1
489,Xiphorhynchus kienerii,1
506,Xiphorynchus pardalotus,1
564,Zebrilus undulatus,1
514,Zenaida auriculata,1
403,Zimmerius chicomendesi,1
364,myrmotherula menetriesii,1
234,Agamia agami,2
246,Akletos goeldii,2
257,Amazona kawalli,2
223,Amazona sp.,2
208,Amazonetta brasiliensis,2
237,Anhima cornuta,2
232,Anhinga anhinga,2
200,Aramus guarauna,2
269,Aratinga weddellii,2
273,Atalotriccus pilaris,2
227,Athene cunicularia,2
322,Brachygalba albogularis,2
325,Brotogeris cyanoptera,2
270,Bucco macrodactylus,2
214,Cacicus oseryi,2
222,Campephilus melanoleucos,2
198,Campephilus rubricollis,2
318,Campylorhamphus ,2
219,Campylorhamphus cardosoi,2
304,Capito brunneipectus,2
225,Caracara sp.,2
262,Cathartes melambrotus,2
275,Cathartes sp.,2
278,Cercomacra manu,2
312,Cercomacroides cf. tyrannina,2
298,Chaetura brachyura,2
207,Chaetura cinereiventris,2
230,Chaetura spinicaudus,2
210,Claravis pretiosa,2
299,Colaptes rubiginosus,2
221,Columbina talpacoti,2
220,Conirostrum speciosum,2
190,Contopus virens,2
243,Crypturellus soui,2
316,Crypturellus strigulosus,2
233,Cyanocorax heilprini,2
203,Cymbilaimus sanctaemariae,2
266,Cypseloides cryptus,2
303,Dendrocincla sp.,2
226,Dendrocincla turdina,2
251,Dendrocolaptes sp.,2
272,Dendroplex cf. picus,2
260,Diglossa major,2
254,Egretta thula,2
247,Elaenia pelzelni,2
261,Epinecrophylla sp.,2
309,Euphonia cf. violacea,2
295,Falco rufigularis,2
292,Forpus passerinus,2
290,Forpus xanthopterygius,2
279,Geotrygon sp.,2
199,Grallaria varia,2
197,Harpagus bidentatus,2
277,Hemitriccus zoosterops griseipectus,2
321,Icterus chrysocephalus,2
195,Jacana jacana,2
188,Lampropsar tanagrinus,2
285,Lamprospiza melanoleuca,2
258,Lanio sp.,2
202,Laterallus exilis,2
236,Laterallus viridis,2
193,Leucippus chlorocercus,2
294,Leucopternis melanops,2
280,Lophornis ornatus,2
323,Lophotriccus eulophotes,2
191,Lophotriccus vitiosus,2
263,Macroagelaius imthurni,2
241,Micrastur mirandollei,2
238,Molothrus bonariensis,2
300,Myiarchus cf. tuberculifer,2
201,Myiopagis viridicata,2
286,Myiophobus roraimae,2
296,Myiothlypis leucoblephara,2
324,Myiozetetes cayanensis,2
205,Myiozetetes granadensis,2
231,Myrmelastes caurensis,2
229,Myrmelastes cf. rufifacies,2
259,Myrmelastes saturatus,2
264,Myrmoborus melanurus,2
217,Myrmotherula ambigua,2
282,Myrmotherula gutturalis,2
216,Myrmotherula iheringi (sp. nov.),2
268,Myrmotherula sclateri,2
211,Myrmotherula unicolor,2
320,Neopelma pallescens,2
311,Neopelma sulphureiventer,2
265,Notharchus hyperrhynchus,2
313,Notharchus ordii,2
194,Notharchus tectus,2
284,Nyctibius leucopterus,2
291,Pandion haliaetus,2
248,Penelope marail,2
196,Penelope pileata,2
215,Phaethornis cf. bourcieri,2
276,Philydor sp.,2
242,Phylloscartes nigrifrons,2
240,Picumnus temminckii,2
319,Pionites melanocephalus,2
283,Pionus fuscus,2
302,Pipra aureola,2
256,Pipreola whitelyi,2
314,Pipridae sp.,2
189,Poecilotriccus russatus,2
307,Poecilotriccus senex,2
271,Psarocolius decumanus,2
287,Psarocolius viridis,2
310,Pteroglossus mariae,2
213,Pteroglossus pluricinctus,2
297,Pygochelidon sp.,2
204,Ramphastos toco,2
267,Ramphotrigon megacephalum,2
305,Rhynchocyclus cf. olivaceus,2
244,Sclerurus mexicanus,2
239,Setophaga petechia,2
235,Spinus magellanicus,2
228,Spizaetus ornatus,2
289,Sporophila murallae,2
192,Sporophila sp.,2
255,Synallaxis cf. albigularis,2
212,Synallaxis frontalis,2
224,Synallaxis kollari,2
245,Synallaxis macconnelli,2
301,Tachornis squamata,2
281,Tachyphonus sp.,2
206,Tangara argentea,2
315,Thamnomanes cf. schistogynus,2
250,Thamnophilidae Thamnophilidae,2
308,Thamnophilus torquatus,2
317,Thlypopsis sordida,2
293,Tinamus guttatus,2
288,Todirostrum chrysocrotaphum,2
249,Todirostrum cinereum,2
253,Trogon curucui,2
306,Trogon personatus,2
252,Turdus lawrencii,2
209,Turdus olivater,2
274,Tyrannus albogularis,2
218,Zimmerius gracilipes acer,2
182,Aburria cumanensis,3
181,Antrostomus rufus,3
153,Ara ararauna,3
99,Aramides cajaneus,3
179,Ardea cocoi,3
140,Asio stygius,3
152,Atticora fasciata,3
151,Berlepschia rikeri,3
137,Buteo platypterus,3
110,Butorides striata,3
172,Cacicus cela,3
132,Calidris minutilla,3
105,Campylopterus hyperythrus,3
127,Campylorhynchus turdinus,3
109,Capito dayi,3
135,Caprimulgidae sp.,3
117,Caprimulgus sp.,3
81,Catharus sp.,3
154,Cercomacroides laeta,3
112,Chiroxiphia pareola regina,3
83,Coccyzus euleri,3
82,Cochlearius cochlearius,3
89,Conopophaga sp.,3
84,Crypturellus cinereus,3
166,Cyanicterus cyanicterus,3
136,Cyanocorax chrysops,3
101,Cyanocorax violaceus,3
159,Deconychura sp.,3
121,Dendrocolaptes concolor,3
147,Drymophila devillei,3
123,Elaenia cf. cristata,3
156,Electron platyrhynchum,3
141,Eurypyga helias,3
138,Forpus sclateri,3
94,Galbula cyanescens,3
167,Geranospiza caerulescens,3
128,Glaucidium hardyi,3
129,Grallaria guatimalensis,3
107,Harpia harpyja,3
122,Hemithraupis flavicollis,3
91,Hemitriccus flammulatus,3
142,Heterospizias meridionalis,3
180,Hydropsalis cayennensis,3
134,Hydropsalis maculicaudus,3
114,Icterus cayanensis,3
186,Inezia caudata,3
144,Knipolegus poecilurus,3
76,Leptotila cf. rufaxilla,3
170,Leucopternis kuhli,3
115,Megaceryle torquata,3
77,Megascops watsonii,3
173,Metopothrix aurantiaca,3
168,Milvago chimachima,3
157,Mitrospingus oleagineus,3
106,Myiarchus swainsoni,3
86,Myiarchus tyrannulus,3
176,Myiozetetes luteiventris,3
183,Myrmeciza longipes,3
88,Myrmotherula obscura,3
146,Nannopterum brasilianus,3
100,Nonnula amaurocephala,3
102,Nyctibius bracteatus,3
143,Nyctibius grandis,3
185,Nyctiphrynus ocellatus,3
119,Opisthocomus hoazin,3
92,Ornithion inerme,3
133,Orthopsittaca manilatus,3
174,Parkesia noveboracensis,3
150,Patagioenas cayennensis,3
131,Patagioenas plumbea,3
79,Phaethornis cf. ruber,3
148,Phaethornis griseogularis,3
126,Pharomachrus pavoninus,3
116,Philydor erythropterum,3
87,Piaya melanogaster,3
111,Picumnus undulatus,3
78,Piranga rubra,3
124,Podager nacunda,3
85,Porphyrio flavirostris,3
95,Procacicus solitarius,3
118,Psarocolius angustifrons,3
163,Pygochelidon cyanoleuca,3
120,Pyrilia barrabandi,3
80,Pyrilia vulturina,3
161,Pyrrhura perlata,3
130,Pyrrhura roseifrons,3
178,Ramphodon naevius,3
104,Ramphotrigon fuscicauda,3
162,Rhytipterna sp.,3
177,Riparia riparia,3
145,Rostrhamus sociabilis,3
108,Rupicola rupicola,3
96,Schiffornis virescens,3
125,Sclerurus albigularis,3
103,Selenidera nattereri,3
113,Setophaga ruticilla,3
97,Setophaga striata,3
160,Sicalis columbiana,3
149,Sicalis luteola,3
171,Synallaxis ruficapilla,3
187,Tachycineta albiventer,3
184,Tangara schrankii,3
90,Tiaris fuliginosus,3
155,Tigrisoma lineatum,3
158,Tolmomyias flaviventris viridiceps,3
93,Tolmomyias sp.,3
139,Topaza pyra,3
165,Tringa solitaria,3
98,Trochilidae sp.,3
175,Turdus nudigenis,3
169,Turdus sanchezorum,3
164,Tyrannidae sp.,3
75,Xenops rutilans,3
32,Akletos melanoceps,4
29,Amazilia viridigaster cupreicauda,4
52,Arremonops conirostris,4
70,Asio clamator,4
47,Brachygalba lugubris,4
74,Calidris fuscicollis,4
64,Calidris melanotos,4
72,Campylopterus duidae,4
12,Cantorchilus griseus,4
54,Caracara cheriway,4
31,Chiroxiphia caudata,4
42,Chloroceryle americana,4
20,Chordeiles acutipennis,4
50,Clibanornis obscurus,4
3,Cnemotriccus sp.,4
53,Colibri delphinae,4
45,Conopias parvus,4
35,Conopophaga melanogaster,4
1,Cranioleuca muelleri,4
73,Crax alector,4
16,Cyanerpes cyaneus,4
0,Donacobius atricapilla,4
25,Doryfera johannae,4
58,Dryocopus lineatus,4
56,Elaenia olivina,4
68,Epinecrophylla pyrrhonota,4
33,Eubucco richardsoni,4
30,Euphonia violacea,4
9,Eupsittula pertinax,4
34,Formicivora rufa,4
27,Furnarius minor,4
51,Glaucidium brasilianum,4
5,Granatellus pelzelni,4
44,Graydidascalus brachyurus,4
28,Hemithraupis guira,4
39,Hemitriccus minimus,4
22,Herpsilochmus roraimae,4
37,Herpsilochmus stotzi,4
7,Hylopezus macularius,4
43,Hylophilus pectoralis,4
59,Lepidocolaptes duidae,4
21,Liosceles thoracicus,4
4,Lurocalis semitorquatus,4
65,Malacoptila semicincta,4
71,Mionectes cf. oleagineus,4
8,Myiothlypis mesoleuca,4
11,Myrmothera simplex,4
62,Neocrex erythrops,4
60,Neopipo cinnamomea,4
57,Odontophorus gujanensis,4
24,Ortalis guttata,4
15,Ortalis motmot,4
2,Pachyramphus surinamus,4
61,Pachysylvia hypoxantha,4
46,Picumnus spilogaster,4
49,Piranga lutea,4
48,Poecilotriccus fumifrons,4
38,Poecilotriccus sylvia,4
13,Polioptila plumbea,4
63,Psarocolius bifasciatus,4
67,Pyriglena leuconota,4
41,Pyrrhura amazonum,4
36,Querula purpurata,4
19,Sclerurus sp.,4
40,Selenidera gouldii,4
17,Sporophila lineola,4
26,Strix virgata,4
55,Sublegatus obscurior,4
66,Syndactyla roraimae,4
69,Tangara xanthogastra,4
23,Thamnophilus cryptoleucus,4
10,Thamnophilus insignis,4
6,Tolmomyias cf. sulphurescens,4
18,Turdus amaurochalinus,4
14,Xenopipo uniformis,4
