Species,Number of Specimens,Percentage
Glyphorynchus spirurus,1301,4.966407085051153
Dixiphia pipra,1068,4.07695831424645
Willisornis poecilinotus,856,3.2676744541151317
Pithys albifrons,738,2.8172240036646814
Xenopipo atronitens,527,2.0117575202320963
Lepidothrix coronata,523,1.996488013437166
Myrmotherula axillaris,445,1.698732630936021
Thamnomanes caesius,422,1.6109329668651702
Dendrocincla merula,402,1.5345854328905177
Elaenia ruficeps,355,1.355168728050084
Dendrocincla fuliginosa,300,1.1452130096197892
Gymnopithys rufigula,296,1.1299435028248588
Xiphorhynchus pardalotus,293,1.118491372728661
Myrmoborus myotherinus,290,1.1070392426324631
Ceratopipra rubrocapilla,283,1.0803176057413346
Myrmotherula longipennis,282,1.076500229042602
Pyrrhura griseipectus,281,1.0726828523438692
Tachyphonus phoenicius,281,1.0726828523438692
Turdus albicollis,280,1.0688654756451368
Mionectes macconnelli,271,1.034509085356543
Formicarius colma,253,0.9657963047793556
Oneillornis salvini,251,0.9581615513818904
Mionectes oleagineus,244,0.931439914490762
Hypocnemis cantator,236,0.9009009009009009
Epinecrophylla haematonota,233,0.889448770804703
Geotrygon montana,227,0.8665445106123073
Thamnomanes ardesiacus,223,0.8512750038173768
Corapipo gutturalis,215,0.8207359902275156
Lepidothrix nattereri,212,0.8092838601313178
Percnostola rufifrons,204,0.7787448465414567
Formicivora grisea,202,0.7711100931439914
Ceratopipra erythrocephala,194,0.7405710795541304
Schiffornis turdina,183,0.6985799358680714
Lepidothrix serena,181,0.6909451824706062
Xenops minutus,173,0.6604061688807452
Hylophylax naevius,172,0.6565887921820125
Certhiasomus stictolaemus,161,0.6145976484959537
Isleria hauxwelli,161,0.6145976484959537
Thamnophilus aethiops,157,0.5993281417010231
Xiphorhynchus elegans,153,0.5840586349060926
Phlegopsis nigromaculata,146,0.5573369980149641
Thamnomanes saturninus,141,0.538250114521301
Automolus infuscatus,140,0.5344327378225684
Pipra filicauda,129,0.4924415941365094
Elaenia cristata,120,0.45808520384791573
Hypocnemis striata,120,0.45808520384791573
Thalurania furcata,120,0.45808520384791573
Lanio surinamus,118,0.45045045045045046
Onychorhynchus coronatus,116,0.4428156970529852
Hypocnemoides melanopogon,115,0.43899832035425257
Thamnophilus murinus,113,0.4313635669567873
Thamnophilus nigrocinereus,106,0.4046419300656589
Epinecrophylla leucophthalma,103,0.393189799969461
Pipra fasciicauda,102,0.38937242327072835
Phaethornis superciliosus,101,0.3855550465719957
Myrmotherula menetriesii,99,0.37792029317453046
Tunchiornis ochraceiceps,95,0.3626507863795999
Myiobius barbatus,94,0.3588334096808673
Rhegmatorhina melanosticta,94,0.3588334096808673
Sicalis flaveola,94,0.3588334096808673
Terenotriccus erythrurus,93,0.35501603298213463
Platyrinchus coronatus,89,0.33974652618720413
Schistochlamys melanopis,89,0.33974652618720413
Attila spadiceus,87,0.33211177278973886
Cyphorhinus arada,87,0.33211177278973886
Epinecrophylla gutturalis,87,0.33211177278973886
Tyrannus melancholicus,87,0.33211177278973886
Cyanoloxia rothschildii,86,0.32829439609100625
Gymnopithys leucaspis,86,0.32829439609100625
Platyrinchus platyrhynchos,85,0.32447701939227364
Deconychura longicauda,84,0.320659642693541
Phaethornis bourcieri,84,0.320659642693541
Brotogeris sanctithomae,83,0.31684226599480836
Chiroxiphia pareola,83,0.31684226599480836
Hemitriccus minor,79,0.3015727591998778
Polytmus theresiae,78,0.2977553825011452
Megastictus margaritatus,77,0.2939380058024126
Xiphorhynchus obsoletus,77,0.2939380058024126
Dendrocolaptes certhia,75,0.2863032524049473
Myrmoborus lugubris,75,0.2863032524049473
Ramphocelus carbo,75,0.2863032524049473
Sclerurus rufigularis,74,0.2824858757062147
Malacoptila rufa,73,0.27866849900748203
Manacus manacus,70,0.2672163689112842
Momotus momota,70,0.2672163689112842
Synallaxis rutilans,69,0.26339899221255153
Arremon taciturnus,68,0.2595816155138189
Corythopis torquatus,67,0.25576423881508625
Cnemotriccus fuscatus,65,0.248129485417621
Conopophaga aurita,65,0.248129485417621
Habia rubica,65,0.248129485417621
Xiphorhynchus guttatus,63,0.24049473202015578
Chloroceryle aenea,62,0.23667735532142314
Microcerculus marginatus,62,0.23667735532142314
Thamnophilus amazonicus,62,0.23667735532142314
Automolus ochrolaemus,61,0.2328599786226905
Galbula albirostris,60,0.22904260192395787
Galbula cyanicollis,60,0.22904260192395787
Platyrinchus saturatus,60,0.22904260192395787
Hypocnemis hypoxantha,59,0.22522522522522523
Myrmotherula assimilis,59,0.22522522522522523
Phlegopsis erythroptera,58,0.2214078485264926
Pheugopedius coraya,57,0.21759047182775995
Isleria guttata,56,0.2137730951290273
Xiphorhynchus ocellatus,56,0.2137730951290273
Thamnophilus schistaceus,55,0.20995571843029473
Coereba flaveola,54,0.2061383417315621
Phaethornis hispidus,54,0.2061383417315621
Myrmoborus leucophrys,53,0.20232096503282945
Schiffornis amazonum,53,0.20232096503282945
Heterocercus linteatus,52,0.19850358833409681
Hypocnemoides maculicauda,52,0.19850358833409681
Rhegmatorhina gymnops,52,0.19850358833409681
Sciaphylax hemimelaena,52,0.19850358833409681
Elaenia chiriquensis,50,0.19086883493663157
Philydor erythrocercum,50,0.19086883493663157
Microbates collaris,49,0.18705145823789893
Myrmelastes leucostigma,49,0.18705145823789893
Cantorchilus leucotis,48,0.1832340815391663
Celeus elegans,47,0.17941670484043365
Phaethornis malaris,47,0.17941670484043365
Philydor pyrrhodes,47,0.17941670484043365
Turdus fumigatus,46,0.17559932814170104
Xiphorhynchus spixii,44,0.16796457474423576
Ramphotrigon ruficauda,43,0.16414719804550312
Rhynchocyclus olivaceus,43,0.16414719804550312
Phaethornis ruber,40,0.15269506794930524
Sporophila angolensis,40,0.15269506794930524
Dichrozona cincta,39,0.1488776912505726
Hypocnemis peruviana,39,0.1488776912505726
Sclerurus caudacutus,39,0.1488776912505726
Sclerurus macconnelli,39,0.1488776912505726
Automolus subulatus,38,0.14506031455184
Cercomacroides serva,38,0.14506031455184
Dendroplex picus,38,0.14506031455184
Lepidothrix iris,38,0.14506031455184
Frederickena viridis,37,0.14124293785310735
Campylopterus largipennis,36,0.1374255611543747
Cercomacroides nigrescens,36,0.1374255611543747
Eucometis penicillata,36,0.1374255611543747
Schiffornis olivacea,36,0.1374255611543747
Leptotila rufaxilla,35,0.1336081844556421
Monasa nigrifrons,35,0.1336081844556421
Picumnus varzeae,35,0.1336081844556421
Sakesphorus canadensis,35,0.1336081844556421
Threnetes leucurus,35,0.1336081844556421
Ceratopipra cornuta,34,0.12979080775690946
Hafferia fortis,34,0.12979080775690946
Knipolegus poecilocercus,34,0.12979080775690946
Amazilia fimbriata,33,0.12597343105817682
Rhegmatorhina hoffmannsi,33,0.12597343105817682
Heliodoxa xanthogonys,32,0.12215605435944418
Hylophylax punctulatus,32,0.12215605435944418
Sittasomus griseicapillus,32,0.12215605435944418
Turdus ignobilis,32,0.12215605435944418
Automolus paraensis,31,0.11833867766071157
Cymbilaimus lineatus,30,0.11452130096197893
Glaucis hirsutus,30,0.11452130096197893
Monasa morphoeus,30,0.11452130096197893
Myrmoderus ferrugineus,30,0.11452130096197893
Turdus leucomelas,30,0.11452130096197893
Lepidothrix vilasboasi,29,0.1107039242632463
Myrmophylax atrothorax,29,0.1107039242632463
Phaethornis philippii,29,0.1107039242632463
Troglodytes musculus,29,0.1107039242632463
Cercomacra cinerascens,28,0.10688654756451366
Lathrotriccus euleri,28,0.10688654756451366
Cercomacroides tyrannina,27,0.10306917086578105
Phaethornis rupurumii,27,0.10306917086578105
Pheugopedius genibarbis,27,0.10306917086578105
Pygiptila stellaris,27,0.10306917086578105
Stigmatura napensis,27,0.10306917086578105
Conirostrum bicolor,26,0.09925179416704841
Dendrocolaptes picumnus,26,0.09925179416704841
Nyctiprogne leucopyga,26,0.09925179416704841
Rupornis magnirostris,26,0.09925179416704841
Rhegmatorhina berlepschi,25,0.09543441746831578
Thamnophilus punctatus,25,0.09543441746831578
Cnipodectes subbrunneus,24,0.09161704076958314
Lanio cristatus,24,0.09161704076958314
Rhytipterna simplex,24,0.09161704076958314
Sclateria naevia,24,0.09161704076958314
Thamnophilus stictocephalus,24,0.09161704076958314
Trogon rufus,24,0.09161704076958314
Heterocercus flavivertex,23,0.08779966407085052
Hylexetastes uniformis,23,0.08779966407085052
Rhytipterna immunda,23,0.08779966407085052
Tangara episcopus,23,0.08779966407085052
Tolmomyias flaviventris,23,0.08779966407085052
Bucco capensis,22,0.08398228737211788
Dendroplex kienerii,22,0.08398228737211788
Emberizoides herbicola,22,0.08398228737211788
Hylexetastes perrotii,22,0.08398228737211788
Hypocnemis flavescens,22,0.08398228737211788
Lipaugus vociferans,22,0.08398228737211788
Lophotriccus galeatus,22,0.08398228737211788
Percnostola minor,22,0.08398228737211788
Synallaxis gujanensis,22,0.08398228737211788
Thamnophilus doliatus,22,0.08398228737211788
Tolmomyias poliocephalus,22,0.08398228737211788
Trogon viridis,22,0.08398228737211788
Herpsilochmus dorsimaculatus,21,0.08016491067338526
Microrhopias quixensis,21,0.08016491067338526
Myiothlypis bivittata,21,0.08016491067338526
Tolmomyias sulphurescens,21,0.08016491067338526
Xiphorhynchus beauperthuysii,21,0.08016491067338526
Lepidothrix suavissima,20,0.07634753397465262
Picumnus aurifrons,20,0.07634753397465262
Zimmerius gracilipes,20,0.07634753397465262
Brotogeris versicolurus,19,0.07253015727592
Bucco tamatia,19,0.07253015727592
Cyanerpes caeruleus,19,0.07253015727592
Malacoptila fusca,19,0.07253015727592
Mazaria propinqua,19,0.07253015727592
Micrastur gilvicollis,19,0.07253015727592
Nannochordeiles pusillus,19,0.07253015727592
Picumnus cirratus,19,0.07253015727592
Campylorhamphus procurvoides,18,0.06871278057718735
Catharus fuscescens,18,0.06871278057718735
Chloroceryle inda,18,0.06871278057718735
Hemitriccus margaritaceiventer,18,0.06871278057718735
Myrmornis torquata,18,0.06871278057718735
Neopelma chrysocephalum,18,0.06871278057718735
Piprites chloris,18,0.06871278057718735
Saltator maximus,18,0.06871278057718735
Taraba major,18,0.06871278057718735
Todirostrum maculatum,18,0.06871278057718735
Campylorhamphus trochilirostris,17,0.06489540387845473
Leptopogon amaurocephalus,17,0.06489540387845473
Nasica longirostris,17,0.06489540387845473
Pteroglossus aracari,17,0.06489540387845473
Tangara palmarum,17,0.06489540387845473
Capito auratus,16,0.06107802717972209
Cathartes aura,16,0.06107802717972209
Chlorestes notata,16,0.06107802717972209
Cranioleuca gutturata,16,0.06107802717972209
Micrastur ruficollis,16,0.06107802717972209
Mionectes roraimae,16,0.06107802717972209
Myiopagis flavivertex,16,0.06107802717972209
Myrmotherula klagesi,16,0.06107802717972209
Nyctidromus albicollis,16,0.06107802717972209
Platyrinchus mystaceus,16,0.06107802717972209
Saltator coerulescens,16,0.06107802717972209
Schiffornis major,16,0.06107802717972209
Serpophaga hypoleuca,16,0.06107802717972209
Vireo olivaceus,16,0.06107802717972209
Aprositornis disjuncta,15,0.05726065048098947
Certhiaxis mustelinus,15,0.05726065048098947
Columbina passerina,15,0.05726065048098947
Formicarius analis,15,0.05726065048098947
Galbula galbula,15,0.05726065048098947
Myrmotherula cherriei,15,0.05726065048098947
Nyctidromus nigrescens,15,0.05726065048098947
Percnostola subcristata,15,0.05726065048098947
Sakesphorus luctuosus,15,0.05726065048098947
Trogon melanurus,15,0.05726065048098947
Veniliornis affinis,15,0.05726065048098947
Amazilia versicolor,14,0.05344327378225683
Anabacerthia ruficaudata,14,0.05344327378225683
Cercomacra carbonaria,14,0.05344327378225683
Chrysomus icterocephalus,14,0.05344327378225683
Galbula leucogastra,14,0.05344327378225683
Lanio fulvus,14,0.05344327378225683
Laniocera hypopyrra,14,0.05344327378225683
Machaeropterus pyrocephalus,14,0.05344327378225683
Machaeropterus striolatus,14,0.05344327378225683
Phaethornis aethopygus,14,0.05344327378225683
Pitangus sulphuratus,14,0.05344327378225683
Tolmomyias assimilis,14,0.05344327378225683
Chlorophanes spiza,13,0.049625897083524204
Colaptes punctigula,13,0.049625897083524204
Dolospingus fringilloides,13,0.049625897083524204
Hydropsalis climacocerca,13,0.049625897083524204
Megascops choliba,13,0.049625897083524204
Myiodynastes maculatus,13,0.049625897083524204
Myrmelastes schistaceus,13,0.049625897083524204
Pteroglossus viridis,13,0.049625897083524204
Tachyphonus coronatus,13,0.049625897083524204
Tyranneutes stolzmanni,13,0.049625897083524204
Capito aurovirens,12,0.04580852038479157
Hemitriccus inornatus,12,0.04580852038479157
Hemitriccus zosterops,12,0.04580852038479157
Myrmelastes hyperythrus,12,0.04580852038479157
Pachyramphus polychopterus,12,0.04580852038479157
Piculus flavigula,12,0.04580852038479157
Tyrannus savana,12,0.04580852038479157
Attila cinnamomeus,11,0.04199114368605894
Brotogeris chrysoptera,11,0.04199114368605894
Cranioleuca vulpina,11,0.04199114368605894
Cyclarhis gujanensis,11,0.04199114368605894
Dacnis cayana,11,0.04199114368605894
Dysithamnus mentalis,11,0.04199114368605894
Epinecrophylla amazonica,11,0.04199114368605894
Florisuga mellivora,11,0.04199114368605894
Heliodoxa aurescens,11,0.04199114368605894
Lepidocolaptes albolineatus,11,0.04199114368605894
Myiarchus ferox,11,0.04199114368605894
Myrmotherula iheringi,11,0.04199114368605894
Pauxi tuberosa,11,0.04199114368605894
Picumnus exilis,11,0.04199114368605894
Progne tapera,11,0.04199114368605894
Pulsatrix perspicillata,11,0.04199114368605894
Ramphastos vitellinus,11,0.04199114368605894
Thamnomanes schistogynus,11,0.04199114368605894
Turdus leucops,11,0.04199114368605894
Volatinia jacarina,11,0.04199114368605894
Celeus flavus,10,0.03817376698732631
Celeus grammicus,10,0.03817376698732631
Elaenia flavogaster,10,0.03817376698732631
Elaenia parvirostris,10,0.03817376698732631
Euphonia minuta,10,0.03817376698732631
Frederickena unduliger,10,0.03817376698732631
Furnarius leucopus,10,0.03817376698732631
Galbula tombacea,10,0.03817376698732631
Henicorhina leucosticta,10,0.03817376698732631
Hylophilus semicinereus,10,0.03817376698732631
Jacamerops aureus,10,0.03817376698732631
Monasa atra,10,0.03817376698732631
Myiopagis gaimardii,10,0.03817376698732631
Myrmothera campanisona,10,0.03817376698732631
Myrmotherula multostriata,10,0.03817376698732631
Paroaria gularis,10,0.03817376698732631
Phoenicircus carnifex,10,0.03817376698732631
Psittacara leucophthalmus,10,0.03817376698732631
Pyrrhura melanura,10,0.03817376698732631
Ramphocaenus melanurus,10,0.03817376698732631
Synallaxis albescens,10,0.03817376698732631
Trogon violaceus,10,0.03817376698732631
Amazilia viridigaster,9,0.03435639028859368
Catharus aurantiirostris,9,0.03435639028859368
Conirostrum margaritae,9,0.03435639028859368
Epinecrophylla erythrura,9,0.03435639028859368
Epinecrophylla ornata,9,0.03435639028859368
Hemitriccus striaticollis,9,0.03435639028859368
Inezia subflava,9,0.03435639028859368
Lanio versicolor,9,0.03435639028859368
Mimus gilvus,9,0.03435639028859368
Myiornis ecaudatus,9,0.03435639028859368
Myrmotherula brachyura,9,0.03435639028859368
Pachyramphus castaneus,9,0.03435639028859368
Phaeomyias murina,9,0.03435639028859368
Phoenicircus nigricollis,9,0.03435639028859368
Ramphastos tucanus,9,0.03435639028859368
Rhegmatorhina cristata,9,0.03435639028859368
Roraimia adusta,9,0.03435639028859368
Saltator grossus,9,0.03435639028859368
Synallaxis albigularis,9,0.03435639028859368
Tityra semifasciata,9,0.03435639028859368
Tyrannulus elatus,9,0.03435639028859368
Xiphorhynchus fuscus,9,0.03435639028859368
Ammodramus aurifrons,8,0.030539013589861046
Baryphthengus martii,8,0.030539013589861046
Cranioleuca vulpecula,8,0.030539013589861046
Cyanocorax hafferi,8,0.030539013589861046
Dendrocolaptes hoffmannsi,8,0.030539013589861046
Galbula dea,8,0.030539013589861046
Geothlypis aequinoctialis,8,0.030539013589861046
Heliothryx auritus,8,0.030539013589861046
Hylexetastes stresemanni,8,0.030539013589861046
Hylocharis sapphirina,8,0.030539013589861046
Hypocnemis ochrogyna,8,0.030539013589861046
Microcerculus bambla,8,0.030539013589861046
Myioborus miniatus,8,0.030539013589861046
Myiothlypis rivularis,8,0.030539013589861046
Myrmelastes rufifacies,8,0.030539013589861046
Myrmotherula surinamensis,8,0.030539013589861046
Nemosia pileata,8,0.030539013589861046
Pachysylvia muscicapina,8,0.030539013589861046
Poecilotriccus latirostris,8,0.030539013589861046
Pteroglossus inscriptus,8,0.030539013589861046
Sporophila castaneiventris,8,0.030539013589861046
Sporophila plumbea,8,0.030539013589861046
Tachyphonus rufus,8,0.030539013589861046
Tangara mexicana,8,0.030539013589861046
Trogon collaris,8,0.030539013589861046
Xiphocolaptes promeropirhynchus,8,0.030539013589861046
Xiphorhynchus guttatoides,8,0.030539013589861046
Accipiter superciliosus,7,0.026721636891128414
Attila bolivianus,7,0.026721636891128414
Automolus rufipileatus,7,0.026721636891128414
Capsiempis flaveola,7,0.026721636891128414
Caryothraustes canadensis,7,0.026721636891128414
Celeus torquatus,7,0.026721636891128414
Chelidoptera tenebrosa,7,0.026721636891128414
Coccycua minuta,7,0.026721636891128414
Coccyzus melacoryphus,7,0.026721636891128414
Crotophaga major,7,0.026721636891128414
Cyanerpes nitidus,7,0.026721636891128414
Euphonia plumbea,7,0.026721636891128414
Herpsilochmus rufimarginatus,7,0.026721636891128414
Hirundo rustica,7,0.026721636891128414
Hylocharis cyanus,7,0.026721636891128414
Hylophilus brunneiceps,7,0.026721636891128414
Megascops usta,7,0.026721636891128414
Myrmelastes humaythae,7,0.026721636891128414
Myrmochanes hemileucus,7,0.026721636891128414
Pachyramphus rufus,7,0.026721636891128414
Phaethornis augusti,7,0.026721636891128414
Philydor atricapillus,7,0.026721636891128414
Psophia crepitans,7,0.026721636891128414
Pteroglossus azara,7,0.026721636891128414
Sporophila nigricollis,7,0.026721636891128414
Stelgidopteryx ruficollis,7,0.026721636891128414
Sturnella militaris,7,0.026721636891128414
Tangara cayana,7,0.026721636891128414
Tangara velia,7,0.026721636891128414
Turdus hauxwelli,7,0.026721636891128414
Veniliornis cassini,7,0.026721636891128414
Cacicus haemorrhous,6,0.022904260192395786
Camptostoma obsoletum,6,0.022904260192395786
Certhiaxis cinnamomeus,6,0.022904260192395786
Chlorostilbon mellisugus,6,0.022904260192395786
Chordeiles rupestris,6,0.022904260192395786
Coragyps atratus,6,0.022904260192395786
Crypturellus variegatus,6,0.022904260192395786
Dacnis flaviventer,6,0.022904260192395786
Dacnis lineata,6,0.022904260192395786
Dendrocygna autumnalis,6,0.022904260192395786
Empidonomus varius,6,0.022904260192395786
Estrilda astrild,6,0.022904260192395786
Euphonia rufiventris,6,0.022904260192395786
Euphonia xanthogaster,6,0.022904260192395786
Galbalcyrhynchus leucotis,6,0.022904260192395786
Galbula ruficauda,6,0.022904260192395786
Heliodoxa schreibersii,6,0.022904260192395786
Heliomaster longirostris,6,0.022904260192395786
Heliornis fulica,6,0.022904260192395786
Herpsilochmus praedictus,6,0.022904260192395786
Knipolegus orenocensis,6,0.022904260192395786
Microcerculus ustulatus,6,0.022904260192395786
Myiopagis caniceps,6,0.022904260192395786
Nonnula rubecula,6,0.022904260192395786
Nonnula ruficapilla,6,0.022904260192395786
Ochthornis littoralis,6,0.022904260192395786
Pachyramphus marginatus,6,0.022904260192395786
Penelope jacquacu,6,0.022904260192395786
Philohydor lictor,6,0.022904260192395786
Piaya cayana,6,0.022904260192395786
Pluvialis dominica,6,0.022904260192395786
Porphyrio martinicus,6,0.022904260192395786
Psophia ochroptera,6,0.022904260192395786
Pteroglossus bitorquatus,6,0.022904260192395786
Pygochelidon melanoleuca,6,0.022904260192395786
Selenidera piperivora,6,0.022904260192395786
Sporophila intermedia,6,0.022904260192395786
Turdus rufiventris,6,0.022904260192395786
Vireo sclateri,6,0.022904260192395786
Zonotrichia capensis,6,0.022904260192395786
Amaurolimnas concolor,5,0.019086883493663154
Ancistrops strigilatus,5,0.019086883493663154
Atlapetes personatus,5,0.019086883493663154
Basileuterus culicivorus,5,0.019086883493663154
Buteo nitidus,5,0.019086883493663154
Capito niger,5,0.019086883493663154
Celeus undatus,5,0.019086883493663154
Charadrius collaris,5,0.019086883493663154
Chloroceryle amazona,5,0.019086883493663154
Chlorophonia cyanea,5,0.019086883493663154
Chrysolampis mosquitus,5,0.019086883493663154
Conopias trivirgatus,5,0.019086883493663154
Cranioleuca demissa,5,0.019086883493663154
Elaenia spectabilis,5,0.019086883493663154
Euphonia chrysopasta,5,0.019086883493663154
Galbalcyrhynchus purusianus,5,0.019086883493663154
Hemitriccus griseipectus,5,0.019086883493663154
Herpsilochmus sticturus,5,0.019086883493663154
Hydropsalis torquata,5,0.019086883493663154
Ilicura militaris,5,0.019086883493663154
Lanio luctuosus,5,0.019086883493663154
Melanerpes cruentatus,5,0.019086883493663154
Micrastur mintoni,5,0.019086883493663154
Microxenops milleri,5,0.019086883493663154
Myiarchus tuberculifer,5,0.019086883493663154
Myioborus castaneocapilla,5,0.019086883493663154
Myiophobus fasciatus,5,0.019086883493663154
Myiothlypis flaveola,5,0.019086883493663154
