Species,Number of Specimens,Percentage
Myiothlypis fulvicauda,5,0.019086883493663154
Neoctantes niger,5,0.019086883493663154
Pachyramphus minor,5,0.019086883493663154
Periporphyrus erythromelas,5,0.019086883493663154
Phlegopsis borbae,5,0.019086883493663154
Piculus chrysochloros,5,0.019086883493663154
Piculus leucolaemus,5,0.019086883493663154
Pionus menstruus,5,0.019086883493663154
Procnias albus,5,0.019086883493663154
Ramphocelus nigrogularis,5,0.019086883493663154
Selenidera reinwardtii,5,0.019086883493663154
Tangara chilensis,5,0.019086883493663154
Tangara guttata,5,0.019086883493663154
Tangara gyrola,5,0.019086883493663154
Thripophaga fusciceps,5,0.019086883493663154
Topaza pella,5,0.019086883493663154
Turdus flavipes,5,0.019086883493663154
Tyranneutes virescens,5,0.019086883493663154
Tyto furcata,5,0.019086883493663154
Veniliornis passerinus,5,0.019086883493663154
Willisornis vidua,5,0.019086883493663154
Akletos melanoceps,4,0.015269506794930523
Arremonops conirostris,4,0.015269506794930523
Asio clamator,4,0.015269506794930523
Brachygalba lugubris,4,0.015269506794930523
Calidris fuscicollis,4,0.015269506794930523
Calidris melanotos,4,0.015269506794930523
Campylopterus duidae,4,0.015269506794930523
Cantorchilus griseus,4,0.015269506794930523
Caracara cheriway,4,0.015269506794930523
Chiroxiphia caudata,4,0.015269506794930523
Chloroceryle americana,4,0.015269506794930523
Chordeiles acutipennis,4,0.015269506794930523
Clibanornis obscurus,4,0.015269506794930523
Colibri delphinae,4,0.015269506794930523
Conopias parvus,4,0.015269506794930523
Conopophaga melanogaster,4,0.015269506794930523
Cranioleuca muelleri,4,0.015269506794930523
Crax alector,4,0.015269506794930523
Cyanerpes cyaneus,4,0.015269506794930523
Donacobius atricapilla,4,0.015269506794930523
Doryfera johannae,4,0.015269506794930523
Dryocopus lineatus,4,0.015269506794930523
Elaenia olivina,4,0.015269506794930523
Epinecrophylla pyrrhonota,4,0.015269506794930523
Eubucco richardsoni,4,0.015269506794930523
Euphonia violacea,4,0.015269506794930523
Eupsittula pertinax,4,0.015269506794930523
Formicivora rufa,4,0.015269506794930523
Furnarius minor,4,0.015269506794930523
Glaucidium brasilianum,4,0.015269506794930523
Granatellus pelzelni,4,0.015269506794930523
Graydidascalus brachyurus,4,0.015269506794930523
Hemithraupis guira,4,0.015269506794930523
Hemitriccus minimus,4,0.015269506794930523
Herpsilochmus roraimae,4,0.015269506794930523
Herpsilochmus stotzi,4,0.015269506794930523
Hylopezus macularius,4,0.015269506794930523
Hylophilus pectoralis,4,0.015269506794930523
Lepidocolaptes duidae,4,0.015269506794930523
Liosceles thoracicus,4,0.015269506794930523
Lurocalis semitorquatus,4,0.015269506794930523
Malacoptila semicincta,4,0.015269506794930523
Myiothlypis mesoleuca,4,0.015269506794930523
Myrmothera simplex,4,0.015269506794930523
Neocrex erythrops,4,0.015269506794930523
Neopipo cinnamomea,4,0.015269506794930523
Odontophorus gujanensis,4,0.015269506794930523
Ortalis guttata,4,0.015269506794930523
Ortalis motmot,4,0.015269506794930523
Pachyramphus surinamus,4,0.015269506794930523
Pachysylvia hypoxantha,4,0.015269506794930523
Picumnus spilogaster,4,0.015269506794930523
Piranga lutea,4,0.015269506794930523
Poecilotriccus fumifrons,4,0.015269506794930523
Poecilotriccus sylvia,4,0.015269506794930523
Polioptila plumbea,4,0.015269506794930523
Psarocolius bifasciatus,4,0.015269506794930523
Pyriglena leuconota,4,0.015269506794930523
Pyrrhura amazonum,4,0.015269506794930523
Querula purpurata,4,0.015269506794930523
Selenidera gouldii,4,0.015269506794930523
Sporophila lineola,4,0.015269506794930523
Strix virgata,4,0.015269506794930523
Sublegatus obscurior,4,0.015269506794930523
Syndactyla roraimae,4,0.015269506794930523
Tangara xanthogastra,4,0.015269506794930523
Thamnophilus cryptoleucus,4,0.015269506794930523
Thamnophilus insignis,4,0.015269506794930523
Turdus amaurochalinus,4,0.015269506794930523
Xenopipo uniformis,4,0.015269506794930523
Aburria cumanensis,3,0.011452130096197893
Antrostomus rufus,3,0.011452130096197893
Ara ararauna,3,0.011452130096197893
Aramides cajaneus,3,0.011452130096197893
Ardea cocoi,3,0.011452130096197893
Asio stygius,3,0.011452130096197893
Atticora fasciata,3,0.011452130096197893
Berlepschia rikeri,3,0.011452130096197893
Buteo platypterus,3,0.011452130096197893
Butorides striata,3,0.011452130096197893
Cacicus cela,3,0.011452130096197893
Calidris minutilla,3,0.011452130096197893
Campylopterus hyperythrus,3,0.011452130096197893
Campylorhynchus turdinus,3,0.011452130096197893
Capito dayi,3,0.011452130096197893
Cercomacroides laeta,3,0.011452130096197893
Coccyzus euleri,3,0.011452130096197893
Cochlearius cochlearius,3,0.011452130096197893
Crypturellus cinereus,3,0.011452130096197893
Cyanicterus cyanicterus,3,0.011452130096197893
Cyanocorax chrysops,3,0.011452130096197893
Cyanocorax violaceus,3,0.011452130096197893
Dendrocolaptes concolor,3,0.011452130096197893
Drymophila devillei,3,0.011452130096197893
Electron platyrhynchum,3,0.011452130096197893
Eurypyga helias,3,0.011452130096197893
Forpus sclateri,3,0.011452130096197893
Galbula cyanescens,3,0.011452130096197893
Geranospiza caerulescens,3,0.011452130096197893
Glaucidium hardyi,3,0.011452130096197893
Grallaria guatimalensis,3,0.011452130096197893
Harpia harpyja,3,0.011452130096197893
Hemithraupis flavicollis,3,0.011452130096197893
Hemitriccus flammulatus,3,0.011452130096197893
Heterospizias meridionalis,3,0.011452130096197893
Hydropsalis cayennensis,3,0.011452130096197893
Hydropsalis maculicaudus,3,0.011452130096197893
Icterus cayanensis,3,0.011452130096197893
Inezia caudata,3,0.011452130096197893
Knipolegus poecilurus,3,0.011452130096197893
Leucopternis kuhli,3,0.011452130096197893
Megaceryle torquata,3,0.011452130096197893
Megascops watsonii,3,0.011452130096197893
Metopothrix aurantiaca,3,0.011452130096197893
Milvago chimachima,3,0.011452130096197893
Mitrospingus oleagineus,3,0.011452130096197893
Myiarchus swainsoni,3,0.011452130096197893
Myiarchus tyrannulus,3,0.011452130096197893
Myiozetetes luteiventris,3,0.011452130096197893
Myrmeciza longipes,3,0.011452130096197893
Myrmotherula obscura,3,0.011452130096197893
Nannopterum brasilianus,3,0.011452130096197893
Nonnula amaurocephala,3,0.011452130096197893
Nyctibius bracteatus,3,0.011452130096197893
Nyctibius grandis,3,0.011452130096197893
Nyctiphrynus ocellatus,3,0.011452130096197893
Opisthocomus hoazin,3,0.011452130096197893
Ornithion inerme,3,0.011452130096197893
Orthopsittaca manilatus,3,0.011452130096197893
Parkesia noveboracensis,3,0.011452130096197893
Patagioenas cayennensis,3,0.011452130096197893
Patagioenas plumbea,3,0.011452130096197893
Phaethornis griseogularis,3,0.011452130096197893
Pharomachrus pavoninus,3,0.011452130096197893
Philydor erythropterum,3,0.011452130096197893
Piaya melanogaster,3,0.011452130096197893
Picumnus undulatus,3,0.011452130096197893
Piranga rubra,3,0.011452130096197893
Podager nacunda,3,0.011452130096197893
Porphyrio flavirostris,3,0.011452130096197893
Procacicus solitarius,3,0.011452130096197893
Psarocolius angustifrons,3,0.011452130096197893
Pygochelidon cyanoleuca,3,0.011452130096197893
Pyrilia barrabandi,3,0.011452130096197893
Pyrilia vulturina,3,0.011452130096197893
Pyrrhura perlata,3,0.011452130096197893
Pyrrhura roseifrons,3,0.011452130096197893
Ramphodon naevius,3,0.011452130096197893
Ramphotrigon fuscicauda,3,0.011452130096197893
Riparia riparia,3,0.011452130096197893
Rostrhamus sociabilis,3,0.011452130096197893
Rupicola rupicola,3,0.011452130096197893
Schiffornis virescens,3,0.011452130096197893
Sclerurus albigularis,3,0.011452130096197893
Selenidera nattereri,3,0.011452130096197893
Setophaga ruticilla,3,0.011452130096197893
Setophaga striata,3,0.011452130096197893
Sicalis columbiana,3,0.011452130096197893
Sicalis luteola,3,0.011452130096197893
Synallaxis ruficapilla,3,0.011452130096197893
Tachycineta albiventer,3,0.011452130096197893
Tangara schrankii,3,0.011452130096197893
Tiaris fuliginosus,3,0.011452130096197893
Tigrisoma lineatum,3,0.011452130096197893
Topaza pyra,3,0.011452130096197893
Tringa solitaria,3,0.011452130096197893
Turdus nudigenis,3,0.011452130096197893
Turdus sanchezorum,3,0.011452130096197893
Xenops rutilans,3,0.011452130096197893
Agamia agami,2,0.007634753397465261
Akletos goeldii,2,0.007634753397465261
Amazona kawalli,2,0.007634753397465261
Amazonetta brasiliensis,2,0.007634753397465261
Anhima cornuta,2,0.007634753397465261
Anhinga anhinga,2,0.007634753397465261
Aramus guarauna,2,0.007634753397465261
Aratinga weddellii,2,0.007634753397465261
Atalotriccus pilaris,2,0.007634753397465261
Athene cunicularia,2,0.007634753397465261
Brachygalba albogularis,2,0.007634753397465261
Brotogeris cyanoptera,2,0.007634753397465261
Bucco macrodactylus,2,0.007634753397465261
Cacicus oseryi,2,0.007634753397465261
Campephilus melanoleucos,2,0.007634753397465261
Campephilus rubricollis,2,0.007634753397465261
Campylorhamphus cardosoi,2,0.007634753397465261
Capito brunneipectus,2,0.007634753397465261
Cathartes melambrotus,2,0.007634753397465261
Cercomacra manu,2,0.007634753397465261
Chaetura brachyura,2,0.007634753397465261
Chaetura cinereiventris,2,0.007634753397465261
Chaetura spinicaudus,2,0.007634753397465261
Claravis pretiosa,2,0.007634753397465261
Colaptes rubiginosus,2,0.007634753397465261
Columbina talpacoti,2,0.007634753397465261
Conirostrum speciosum,2,0.007634753397465261
Contopus virens,2,0.007634753397465261
Crypturellus soui,2,0.007634753397465261
Crypturellus strigulosus,2,0.007634753397465261
Cyanocorax heilprini,2,0.007634753397465261
Cymbilaimus sanctaemariae,2,0.007634753397465261
Cypseloides cryptus,2,0.007634753397465261
Dendrocincla turdina,2,0.007634753397465261
Diglossa major,2,0.007634753397465261
Egretta thula,2,0.007634753397465261
Elaenia pelzelni,2,0.007634753397465261
Falco rufigularis,2,0.007634753397465261
Forpus passerinus,2,0.007634753397465261
Forpus xanthopterygius,2,0.007634753397465261
Grallaria varia,2,0.007634753397465261
Harpagus bidentatus,2,0.007634753397465261
Hemitriccus zoosterops,2,0.007634753397465261
Icterus chrysocephalus,2,0.007634753397465261
Jacana jacana,2,0.007634753397465261
Lampropsar tanagrinus,2,0.007634753397465261
Lamprospiza melanoleuca,2,0.007634753397465261
Laterallus exilis,2,0.007634753397465261
Laterallus viridis,2,0.007634753397465261
Leucippus chlorocercus,2,0.007634753397465261
Leucopternis melanops,2,0.007634753397465261
Lophornis ornatus,2,0.007634753397465261
Lophotriccus eulophotes,2,0.007634753397465261
Lophotriccus vitiosus,2,0.007634753397465261
Macroagelaius imthurni,2,0.007634753397465261
Micrastur mirandollei,2,0.007634753397465261
Molothrus bonariensis,2,0.007634753397465261
Myiopagis viridicata,2,0.007634753397465261
Myiophobus roraimae,2,0.007634753397465261
Myiothlypis leucoblephara,2,0.007634753397465261
Myiozetetes cayanensis,2,0.007634753397465261
Myiozetetes granadensis,2,0.007634753397465261
Myrmelastes caurensis,2,0.007634753397465261
Myrmelastes saturatus,2,0.007634753397465261
Myrmoborus melanurus,2,0.007634753397465261
Myrmotherula ambigua,2,0.007634753397465261
Myrmotherula gutturalis,2,0.007634753397465261
Myrmotherula sclateri,2,0.007634753397465261
Myrmotherula unicolor,2,0.007634753397465261
Neopelma pallescens,2,0.007634753397465261
Neopelma sulphureiventer,2,0.007634753397465261
Notharchus hyperrhynchus,2,0.007634753397465261
Notharchus ordii,2,0.007634753397465261
Notharchus tectus,2,0.007634753397465261
Nyctibius leucopterus,2,0.007634753397465261
Pandion haliaetus,2,0.007634753397465261
Penelope marail,2,0.007634753397465261
Penelope pileata,2,0.007634753397465261
Phylloscartes nigrifrons,2,0.007634753397465261
Picumnus temminckii,2,0.007634753397465261
Pionites melanocephalus,2,0.007634753397465261
Pionus fuscus,2,0.007634753397465261
Pipra aureola,2,0.007634753397465261
Pipreola whitelyi,2,0.007634753397465261
Poecilotriccus russatus,2,0.007634753397465261
Poecilotriccus senex,2,0.007634753397465261
Psarocolius decumanus,2,0.007634753397465261
Psarocolius viridis,2,0.007634753397465261
Pteroglossus mariae,2,0.007634753397465261
Pteroglossus pluricinctus,2,0.007634753397465261
Ramphastos toco,2,0.007634753397465261
Ramphotrigon megacephalum,2,0.007634753397465261
Sclerurus mexicanus,2,0.007634753397465261
Setophaga petechia,2,0.007634753397465261
Spinus magellanicus,2,0.007634753397465261
Spizaetus ornatus,2,0.007634753397465261
Sporophila murallae,2,0.007634753397465261
Synallaxis frontalis,2,0.007634753397465261
Synallaxis kollari,2,0.007634753397465261
Synallaxis macconnelli,2,0.007634753397465261
Tachornis squamata,2,0.007634753397465261
Tangara argentea,2,0.007634753397465261
Thamnophilidae Thamnophilidae,2,0.007634753397465261
Thamnophilus torquatus,2,0.007634753397465261
Thlypopsis sordida,2,0.007634753397465261
Tinamus guttatus,2,0.007634753397465261
Todirostrum chrysocrotaphum,2,0.007634753397465261
Todirostrum cinereum,2,0.007634753397465261
Trogon curucui,2,0.007634753397465261
Trogon personatus,2,0.007634753397465261
Turdus lawrencii,2,0.007634753397465261
Turdus olivater,2,0.007634753397465261
Tyrannus albogularis,2,0.007634753397465261
Accipiter striatus,1,0.0038173766987326307
Actitis macularius,1,0.0038173766987326307
Amazilia brevirostris,1,0.0038173766987326307
Amazona amazonica,1,0.0038173766987326307
Amazona coerulescens,1,0.0038173766987326307
Amazona farinosa,1,0.0038173766987326307
Ammodramus humeralis,1,0.0038173766987326307
Antrostomus sericocaudatus,1,0.0038173766987326307
Anurolimnas castaneiceps,1,0.0038173766987326307
Ara chloropterus,1,0.0038173766987326307
Ara macao,1,0.0038173766987326307
Ardea alba,1,0.0038173766987326307
Arundinicola leucocephala,1,0.0038173766987326307
Atticora tibialis,1,0.0038173766987326307
Attila citriniventris,1,0.0038173766987326307
Attila phoenicurus,1,0.0038173766987326307
Aulacorhynchus derbianus,1,0.0038173766987326307
Automolus melanopezus,1,0.0038173766987326307
Bartramia longicauda,1,0.0038173766987326307
Buteo brachyurus,1,0.0038173766987326307
Buteogallus schistaceus,1,0.0038173766987326307
Campylorhamphus gyldenstolpei,1,0.0038173766987326307
Campylorhamphus sanus,1,0.0038173766987326307
Caracara plancus,1,0.0038173766987326307
Cathartes burrovianus,1,0.0038173766987326307
Catharus minimus,1,0.0038173766987326307
Catharus swainsoni,1,0.0038173766987326307
Celeus ochraceus,1,0.0038173766987326307
Chamaeza nobilis,1,0.0038173766987326307
Chondrohierax uncinatus,1,0.0038173766987326307
Cnipodectes superrufus,1,0.0038173766987326307
Coccyzus americanus,1,0.0038173766987326307
Colaptes melanochloros,1,0.0038173766987326307
Colinus cristatus,1,0.0038173766987326307
Colonia colonus,1,0.0038173766987326307
Conopophaga lineata,1,0.0038173766987326307
Conopophaga melanops,1,0.0038173766987326307
Contopus cooperi,1,0.0038173766987326307
Contopus sordidulus,1,0.0038173766987326307
Coryphospingus cucullatus,1,0.0038173766987326307
Cranioleuca stellaris,1,0.0038173766987326307
Crax globulosa,1,0.0038173766987326307
Crotophaga ani,1,0.0038173766987326307
Crypturellus obsoletus,1,0.0038173766987326307
Daptrius ater,1,0.0038173766987326307
Dendrexetastes rufigula,1,0.0038173766987326307
Dendrocolaptes juruanus,1,0.0038173766987326307
Dendrocolaptes platyrostris,1,0.0038173766987326307
Dendrocolaptes radiolatus,1,0.0038173766987326307
Dendrocolaptes ridgwayi,1,0.0038173766987326307
Deroptyus accipitrinus,1,0.0038173766987326307
Diglossa duidae,1,0.0038173766987326307
Discosura langsdorffi,1,0.0038173766987326307
Discosura longicaudus,1,0.0038173766987326307
Dromococcyx pavoninus,1,0.0038173766987326307
Euchrepomis spodioptila,1,0.0038173766987326307
Euphonia cayennensis,1,0.0038173766987326307
Euphonia chlorotica,1,0.0038173766987326307
Euphonia laniirostris,1,0.0038173766987326307
Falco peregrinus,1,0.0038173766987326307
Gallinago paraguaiae,1,0.0038173766987326307
Gallinago undulata,1,0.0038173766987326307
Gelochelidon nilotica,1,0.0038173766987326307
Geranoaetus melanoleucus,1,0.0038173766987326307
Grallaricula nana,1,0.0038173766987326307
Griseotyrannus aurantioatrocristatus,1,0.0038173766987326307
Gymnoderus foetidus,1,0.0038173766987326307
Gymnomystax mexicanus,1,0.0038173766987326307
Hemitriccus iohannis,1,0.0038173766987326307
Hemitriccus kaempferi,1,0.0038173766987326307
Hemitriccus senex,1,0.0038173766987326307
Herpsilochmus sellowi,1,0.0038173766987326307
Herpsilochmus stictocephalus,1,0.0038173766987326307
Himantopus mexicanus,1,0.0038173766987326307
Hydropsalis parvula,1,0.0038173766987326307
Hylopezus berlepschi,1,0.0038173766987326307
Hylopezus whittakeri,1,0.0038173766987326307
Hylophilus thoracicus,1,0.0038173766987326307
Hypocnemis rondoni,1,0.0038173766987326307
Hypocnemis subflava,1,0.0038173766987326307
Ibycter americanus,1,0.0038173766987326307
Icterus croconotus,1,0.0038173766987326307
Icterus nigrogularis,1,0.0038173766987326307
Ictinia plumbea,1,0.0038173766987326307
Iodopleura isabellae,1,0.0038173766987326307
Lanio rufiventer,1,0.0038173766987326307
Leptodon cayanensis,1,0.0038173766987326307
Leucochloris albicollis,1,0.0038173766987326307
Lochmias nematura,1,0.0038173766987326307
Machaeropterus regulus,1,0.0038173766987326307
Megascops guatemalae,1,0.0038173766987326307
Micrastur semitorquatus,1,0.0038173766987326307
Micropygia schomburgkii,1,0.0038173766987326307
Monasa flavirostris,1,0.0038173766987326307
Morphnus guianensis,1,0.0038173766987326307
Muscisaxicola fluviatilis,1,0.0038173766987326307
Myiobius atricaudus,1,0.0038173766987326307
Myiozetetes similis,1,0.0038173766987326307
Myrmoborus lophotes,1,0.0038173766987326307
Myrmotherula behni,1,0.0038173766987326307
Myrmotherula haematonata,1,0.0038173766987326307
Myrmotherula sunensis,1,0.0038173766987326307
Nonnula sclateri,1,0.0038173766987326307
Notharchus macrorhynchos,1,0.0038173766987326307
Nothocrax urumutum,1,0.0038173766987326307
Nyctibius aethereus,1,0.0038173766987326307
Nyctibius griseus,1,0.0038173766987326307
Odontophorus stellatus,1,0.0038173766987326307
Odontorchilus cinereus,1,0.0038173766987326307
Oxyruncus cristatus,1,0.0038173766987326307
Pachyramphus viridis,1,0.0038173766987326307
Patagioenas fasciata,1,0.0038173766987326307
Patagioenas speciosa,1,0.0038173766987326307
Patagioenas subvinacea,1,0.0038173766987326307
Perissocephalus tricolor,1,0.0038173766987326307
Phaethornis nattereri,1,0.0038173766987326307
Phaetusa simplex,1,0.0038173766987326307
Phyllomyias griseiceps,1,0.0038173766987326307
Phyllomyias griseocapilla,1,0.0038173766987326307
Phylloscartes chapmani,1,0.0038173766987326307
Picumnus buffonii,1,0.0038173766987326307
Picumnus castelnau,1,0.0038173766987326307
Poecilotriccus capitalis,1,0.0038173766987326307
Polioptila paraensis,1,0.0038173766987326307
Progne chalybea,1,0.0038173766987326307
Progne elegans,1,0.0038173766987326307
Progne subis,1,0.0038173766987326307
Pseudastur albicollis,1,0.0038173766987326307
Psophia dextralis,1,0.0038173766987326307
Psophia leucoptera,1,0.0038173766987326307
Pteroglossus beauharnaisii,1,0.0038173766987326307
Pteroglossus castanotis,1,0.0038173766987326307
Pyriglena leucoptera,1,0.0038173766987326307
Pyrilia caica,1,0.0038173766987326307
Pyrocephalus rubinus,1,0.0038173766987326307
Pyrrhura picta,1,0.0038173766987326307
Sclerurus rufigulares,1,0.0038173766987326307
Setophaga pitiayumi,1,0.0038173766987326307
Sirystes sibilator,1,0.0038173766987326307
Spiza americana,1,0.0038173766987326307
Sporophila americana,1,0.0038173766987326307
Sporophila crassirostris,1,0.0038173766987326307
Sporophila maximiliani,1,0.0038173766987326307
Strix hylophila,1,0.0038173766987326307
Synallaxis hypospodia,1,0.0038173766987326307
Synallaxis scutata,1,0.0038173766987326307
Syrigma sibilatrix,1,0.0038173766987326307
Taeniotriccus andrei,1,0.0038173766987326307
Tangara nigrocincta,1,0.0038173766987326307
Tangara varia,1,0.0038173766987326307
Theristicus caudatus,1,0.0038173766987326307
Tigrisoma fasciatum,1,0.0038173766987326307
Tinamus major,1,0.0038173766987326307
Tinamus tao,1,0.0038173766987326307
Tityra cayana,1,0.0038173766987326307
Todirostrum pictum,1,0.0038173766987326307
Todirostrum poliocephalum,1,0.0038173766987326307
Touit huetii,1,0.0038173766987326307
Touit purpuratus,1,0.0038173766987326307
Trichothraupis melanops,1,0.0038173766987326307
Troglodytes rufulus,1,0.0038173766987326307
Trogon ramonianus,1,0.0038173766987326307
Tyrannopsis sulphurea,1,0.0038173766987326307
Tyrannus dominicensis,1,0.0038173766987326307
Urubitinga urubitinga,1,0.0038173766987326307
Vanellus chilensis,1,0.0038173766987326307
Vireo altiloquus,1,0.0038173766987326307
Vireo chivi,1,0.0038173766987326307
Xenopsaris albinucha,1,0.0038173766987326307
Xiphocolaptes carajaensis,1,0.0038173766987326307
Xipholena lamellipennis,1,0.0038173766987326307
Xipholena punicea,1,0.0038173766987326307
Xiphorhynchus kienerii,1,0.0038173766987326307
Xiphorynchus pardalotus,1,0.0038173766987326307
Zebrilus undulatus,1,0.0038173766987326307
Zenaida auriculata,1,0.0038173766987326307
Zimmerius chicomendesi,1,0.0038173766987326307
